ESPECE;maisP;maisDP;maisDT;maisT;maisTT;maisEnsil;semence;tour;CP;BD;orgeh;poish;poisp;feverole;colza;sorgho;soja;prairiet;prairiep;betterave;pdt;vergers;prune;vignes;gel;orgep;orgeEnsil;maisPP;orgeVert;ciPois;ciCruciLong;ciCruciCourt;ciVesce;ciRGI;TriticaleVert;ciSorgho;ciFeverole
Pse;0.3;0.3;0.3;0.3;0.3;1;0.3;0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.453;0.3;0.4;1;0;0.09;0.3;0;0;0;0;0.4;1;0.3;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15
beta;0.952;0.952;0.952;0.952;0.952;0.952;0.952;0.928;0.96;0.96;0.94;0.963;0.963;0.961;0.92;0.952;0.938;0.953;0;0.953;0.953;0;0;0;0;0.94;0.94;0.952;0.94;0.963;0.92;0.928;0.928;0.953;0.96;0.952;0.961
SR_ratio;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.7;6.8;6.8;9.5;5.7;5.7;4;4.9;11.7;5.2;1.5;0;57.15;38.35;0;0;0;0;9.5;9.5;5.6;9.5;5.7;4.9;5.67;5.7;1.5;6.8;11.7;4
RootC_fixed;1.167;1.167;1.167;1.167;1.167;1.238;1.167;0.904;0.846;0.846;0.644;0.511;0.511;0.739;1.174;0.638;1.062;3.976;0;0.158;0.094;0;0;0;0;0.644;0.644;1.167;0;0;0;0;0;0;0;0;0
CN_ratio;60;60;60;60;60;60;60;45;82.5;82.5;75;32.5;32.5;32.5;67.5;60;32.5;55;0;23;55;0;0;0;0;75;75;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
adil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.35;5.08;4.48;4.48;5.08;5.35;5.35;3.5;5.08
bdil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.44;0.32;0.25;0.25;0.32;0.44;0.44;0.37;0.32
Type_Nacq;Cst;Cst;Cst;Cst;Cst;Cst;Cst;FloMat;CstFloMat;CstFloMat;CstFloMat;500Mat;500Mat;500Mat;CstFloMat;Cst;Cst;0;0;Cst;Cst;0;0;0;0;CstFloMat;CstFloMat;Cst;CstFloMat;500Mat;CstFloMat;CI;CI;CIfrein;CstFloMat;Cst;500Mat
a_Ndemand_ci;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0.0008;0.0007;0.0007;0;0;0
b_Ndemand_ci;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0.3317;0.258;0.3114;0;0;0
coef_500Mat;0;0;0;0;0;0;0;0;0;0;0;0.0044;0.0044;0.0044;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0.0044;0;0;0;0;0;0;0.0044
Dde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;137;137;191;191;0;0;0
N_grain;2;2;2;2;2;1.3;2;2.2;2;2.4;1.7;3.5;3.5;3.5;3;1.7;5;0;0;1;1;0;0;0;0;1.7;1.7;2;0;0;0;0;0;0;0;0;0
especeRepousse;NA;NA;NA;NA;NA;NA;NA;NA;ciRGI;NA;ciRGI;NA;NA;NA;ciCruciLong;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ciRGI;ciRGI;NA;ciRGI;NA;NA;NA;NA;NA;NA;NA;NA
BESOIN_Ntot;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;260;250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PROF_MAX_RACINE;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;100;50;200;200;200;200;200;200;200;200;NA;200;200;200;200;200;NA;200
date_maj;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;19/06/2023;04/12/2023;18/12/2023;19/06/2023;12/10/2023;20/12/2023;20/12/2023;22/09/2023;22/09/2023;22/09/2023;22/09/2023;22/09/2023;20/12/2023;22/09/2023
