PREPA_DEBUT;[jour];NA;121;121;121;121;121;121;NA;121;121;121;121;121;121
PREPA_FIN;[jour];NA;160;160;160;160;160;160;NA;160;160;160;160;160;160
PREPA_JOURS_P-ETP_MIN;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_P-ETP_MIN;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_JOURS_PLUIE;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_HAUTEURS_PLUIE_MAX;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_HUMIDITE_SOL_MAX;[%];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_EFFET_RUs;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_TEMPERATURE_MAX_INF;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PREPA_JOURS_TEMP_MAX_INF;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IS_REPRISE;[NA];N;N;N;N;N;N;N;N;N;N;N;N;N;N
REPRISE_PASSAGES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_OUTIL;[nom];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_AGRIW;[bool];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_NB_SOUS_PERIODES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_TEMPS;[Ha/h];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_DEBUT;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_FIN;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
REPRISE_JOURS_P-ETP_MIN;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
