ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
13218;01/01/2039;6.668;3.24;5.468;0.261;0.701
13218;01/01/2039;0.228;2.075;8.322;0.2;2.241
13218;01/01/2039;1.828;6.73;8.728;0.339;1.113
13218;02/01/2039;19.571;7.966;10.016;0.159;1.062
13218;02/01/2039;1.357;2.328;3.916;0.243;1.011
13218;02/01/2039;1.636;6.064;8.195;0.222;1.775
13218;03/01/2039;6.469;4.446;4.998;0.225;1.046
13218;03/01/2039;4.462;5.305;10.149;0.746;3.139
13218;03/01/2039;3.189;3.772;10.41;0.278;0.618
13218;04/01/2039;8.29;4.642;8.335;0.428;1.062
13218;04/01/2039;0.691;4.236;6.376;0.542;1.982
13218;04/01/2039;0;7.3;10.009;0.686;4.256
13218;05/01/2039;4.084;4.551;8.818;0.292;3.709
13218;05/01/2039;2.17;-1.598;4.019;0.25;1.593
13218;05/01/2039;0;8.145;13.383;1.543;4.804
13218;06/01/2039;1.13;10.295;12.755;0.982;1.266
13218;06/01/2039;5.076;5.189;8.267;0.555;3.038
13218;06/01/2039;0;-1.673;4.288;0.312;4.798
13218;07/01/2039;0;2.38;6.416;1.177;2.37
13218;07/01/2039;0;0.822;4.233;0.499;3.22
13218;07/01/2039;5.952;7.511;13.208;0.565;3.169
13218;08/01/2039;1.373;2.462;6.996;0.21;0.956
13218;08/01/2039;14.16;1.609;2.633;0.364;0.606
13218;08/01/2039;0.217;-0.241;3.008;0.243;1.572
13218;09/01/2039;0;1.6;9.189;0.55;5.047
13218;09/01/2039;11.9;-0.126;0.067;0.33;0.747
13218;09/01/2039;5.588;0.843;9.611;0.215;0.567
13218;10/01/2039;1.052;0.694;2.97;0.387;3.343
13218;10/01/2039;3.253;4.293;9.629;0.903;3.625
13218;10/01/2039;0.345;2.388;9.827;0.344;1.139
13218;11/01/2039;0.327;7.882;10.24;0.198;1.009
13218;11/01/2039;2.964;5.46;10.02;0.624;2.757
13218;11/01/2039;0.772;-0.118;3.806;0.229;4.11
13218;12/01/2039;1.276;-0.39;2.817;0.425;3.307
13218;12/01/2039;0.241;6.152;8.017;0.852;1.976
13218;12/01/2039;0.35;8.426;10.45;0.351;1.352
13218;13/01/2039;0;5.017;10.823;0.287;3.494
13218;13/01/2039;1.773;5.194;6.078;0.469;1.419
13218;13/01/2039;0.267;0.982;4.411;0.138;5.256
13218;14/01/2039;0.201;1.854;4.958;0.329;2.511
13218;14/01/2039;0;-0.438;0.95;0.295;1.314
13218;14/01/2039;0;0.895;10.406;0.573;4.003
13218;15/01/2039;2.76;-2.652;-0.667;0.56;1.478
13218;15/01/2039;3.134;6.421;8.413;0.433;4.163
13218;15/01/2039;6.351;-0.276;3.041;0.436;6.511
13218;16/01/2039;6.115;-2.718;-1.14;0.125;1.064
13218;16/01/2039;0.587;-2.147;1.03;0.434;6.529
13218;16/01/2039;8.882;8.989;10.697;0.479;0.742
