nom;boue urbaine brute;boue urbaine deshydratee;boue urbaine epaissie chaulee;boue papeterie epaissies deshydratees;digestat agricole moyen;digestat biodechets moyenne;digestat voie seche;digestat CIVE brut;digestat CIVE liquide;digestat CIVE solide;fertilys;fumier bovin;fumier caprin;fumier ovin;fumier porc;fumier de cheval moyen;fumier de cheval pailleux;fumier de cheval fait;fumier volailles;fiente de poule brute;fiente de poule seche;lisier bovin;lisier de porc;lisier de porc seche;lisier de canard;compost dechets verts;compost dechets verts et biodechets;compost de dechets verts et boue;compost ordures menageres residuelles;compost de fumier bovin;compost de fumier porcin;refus lisier de porc;urine;vinasse sucrerie concentree;AH;AN;AP;AS;CAN;NK;NPK;NP;N_solutions;urea;mineral;P;PK;K
ETM_Cu;337.4;;337.4;61;;17.33;;;;;;43;34.1;41.4;75;16;16;16;;57.8;57.8;42.8;368;;;49;65.7;327.1;128;249.5;249.5;;;;;;;;;;;;;;;;;
ETM_Ni;24.5;;24.5;12;;6.31;;;;;;3.3;7.7;6.8;2.5;10;10;10;;11.6;11.6;7.8;14;;;12;17.1;20.7;26.1;34.74;34.74;;;;;;;;;;;;;;;;;
ETM_Pb;48.2;;48.2;13;;3.11;;;;;;4.1;3.4;3.6;5.2;58;58;58;;2;2;4.8;47;;;60;57.1;48.7;93.3;45.17;45.17;;;;;;;;;;;;;;;;;
ETM_Zn;700.9;;700.9;135;;100;;;;;;257;203;187.1;396;82;82;82;;293;293;219.5;379;;;163;230;611;356;626;626;;;;;;;;;;;;;;;;;
ETM_Hg;0.86;;0.86;0.2;;0.12;;;;;;0.05;;0.2;0;0.3;0.3;0.3;;0.2;0.2;0.13;0;;;0.06;0.19;0.9;0.51;0.2;0.2;;;;;;;;;;;;;;;;;
ETM_Cr;33.3;;33.3;34;;3.16;;;;;;3.3;7.6;6.3;3.7;5.3;5.3;5.3;;15.9;15.9;8;13.4;;;18;26.4;35.96;43;53.52;53.52;;;;;;;;;;;;;;;;;
Fertilizer_type;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;organic;mineral;mineral;mineral;mineral;mineral;mineral;mineral;mineral;mineral;mineral;mineral;mineral;mineral;mineral
EF_normal_pH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;0.016;0.051;0.092;0.008;0.022;0.067;0.067;0.1;0.243;0.02;;;
EF_high_pH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.036;0.033;0.094;0.17;0.017;0.033;0.094;0.094;0.097;0.243;0.02;;;
EF;0.5;0.5;0.5;0.5;0.7;0.7;0.8;0.7;0.6;0.8;0.8;0.8;0.7;0.7;0.6;0.7;0.7;0.7;0.4;0.4;0.4;0.5;0.35;0.6;0.4;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.55;0.6;;;;;;;;;;;;;;
Fertilizer_form;liquid;solid;solid;solid;liquid;liquid;solid;liquid;liquid;solid;solid;solid;solid;solid;solid;solid;solid;solid;solid;solid;solid;liquid;liquid;solid;liquid;solid;solid;solid;solid;solid;solid;solid;liquid;solid;solid;solid;solid;solid;solid;solid;solid;solid;liquid;solid;solid;solid;solid;solid
eqCO2_MinN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.51;3.97;0;4.51;4.18;2.74;3.97;3.97;4.99;4.54;4.51;0;0;0
eqCO2_MinP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;3.02;0;0;0;1.83;1.83;0;0;0;1.45;1.45;0
eqCO2_MinK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0.71;0.71;0;0;0;0;0;0.71;0.71
eqCO2_PRO;24.6;411.1;24.6;411.1;52;52;52;52;52;52;652.5;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;27;27;27;27;652.5;652.5;652.5;652.5;652.5;652.5;27;0;32;;;;;;;;;;;;;;
CoutT;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;60;0;0;0;0;3;3;3;3;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
QuantiteDispoAnnuelleT;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000;1000000000
plan_epandage;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
